Unnamed: 0,FID,pointid,PopDens2020,Country,ISO_A2,ISO_A3,ISO_N3,UN_A3,latDD,lonDD,APECOSM_ipsl-cm6a-lr,BOATS_ipsl-cm6a-lr,DBEM_ipsl-cm6a-lr,DBPM_ipsl-cm6a-lr,FEISTY_ipsl-cm6a-lr,EcoOcean_ipsl-cm6a-lr,EcoTroph_ipsl-cm6a-lr,MACROECOLOGICAL_ipsl-cm6a-lr,ZooMSS_ipsl-cm6a-lr,BOATS_gfdl-esm4,DBEM_gfdl-esm4,FEISTY_gfdl-esm4,EcoOcean_gfdl-esm4,EcoTroph_gfdl-esm4,MACROECOLOGICAL_gfdl-esm4,ZooMSS_gfdl-esm4
693,36292,6570798,55.614200600000004,Indonesia,ID,IDN,360,360,3.5041699,97.0374985,-2.082991292245051,-1.6734492554798308,-8.786863936400568,-3.4236383447252328,1.2226774628417036,-9.756690881771835,-2.8286028393591955,-2.0053857201597913,2.9820897716338113,-7.683086744777401,-2.286702308018118,-10.522584877452134,-1.966594771471275,-3.306977849963777,-4.734449409524033,-13.391139421934584
694,8167,9868684,2160.439941,Indonesia,ID,IDN,360,360,-8.77917,115.1539993,-1.7331731312723808,4.653119148647011,-0.5785667018592622,-2.481356119153144,1.1149605710316646,1.0335169477180717,4.210273744806492,4.691596993167879,2.493859853001368,-19.858542366118115,-29.291682510534322,-26.008523477635038,-11.654175861067795,-16.175524383567375,-14.654034729814025,-29.196299359801237
695,4380,10132204,433.99700930000006,Madagascar,MG,MDG,450,450,-12.304200199999999,49.354198499999995,3.4767860059666367,5.279849739617193,20.59270845241845,-4.07281283096731,3.2695537045385414,-4.741368765784215,1.6621338536832342,5.146440520920992,2.335844007510901,-12.827492556369247,-5.342903703493073,-19.036219539555777,-10.036292188500395,-12.076493142951838,-9.415871300139788,-16.73478624584034
696,9223,9818320,115.61199950000001,Indonesia,ID,IDN,360,360,-8.520830199999999,118.6959991,-0.5102807570236512,0.2742023360992052,-11.317915144167523,-4.901762008842702,-5.700099626693422,2.6222095590120675,1.1552259353153627,0.08324193348658859,-0.8332592703433339,-21.8679869074328,-13.993450121357288,-31.863568891445514,-12.837700487749393,-22.6418387446107,-20.421773200201155,-35.18209124389479
697,29155,9201039,70.8403015,Indonesia,ID,IDN,360,360,-5.65417,132.720993,-4.039789807511451,-5.386364295541723,-11.727773905425487,-4.9698417431750075,-4.168185304550043,-10.256290074405305,-4.6333594408725975,-6.409267286870579,-10.963306504853776,-21.591627972494955,-21.053158330211808,-30.925087148499873,-21.79848460314806,-25.462463570818063,-25.30013820006718,-44.86299414862016
698,6559,10019923,195.43400569999997,Indonesia,ID,IDN,360,360,-10.545800199999999,121.7289963,1.3985548484799937,1.8458594580397891,9.873651495249502,-4.0464288917793745,2.920979305565341,6.287242859489983,4.367842605777428,3.158095337361888,4.441436408865096,-18.06639005025086,-12.634903066291049,-25.1714376023781,-12.117753972953704,-17.73286271155533,-17.37037020512233,-35.60387482743826
699,56839,5332574,82.207901,Philippines,PH,PHL,608,608,8.3791704,126.3710022,10.77739636979671,3.544152908966436,-3.4863056278027216,-4.062083338272371,-10.53947032009086,-4.117912488216713,-0.1029375947224298,2.808750373071822,-0.5239471438024168,-33.02438618991821,-19.592074055390142,-38.387544601369996,13.385191072486613,-34.66403080636401,-24.622653236645764,-31.568299648807987
700,24724,9712944,27.311899199999996,Indonesia,ID,IDN,360,360,-8.0041704,131.2879944,0.24782213800138564,-3.539637230212833,4.6264402391616555,-4.426264392809398,-1.4425621728906046,-2.732533919799307,-2.7274468984814892,-2.639571301066679,-4.882684286830319,-17.549477267016567,-15.569863845801613,-26.102970703434593,-19.386617911599323,-17.831177125136797,-16.351774082078073,-32.46631015747621
701,16033,9006027,135.8000031,Indonesia,ID,IDN,360,360,-4.7125001,122.512001,-3.1333505901170455,-4.922229418403845,-31.607560113662103,-5.782270456296912,-9.525608361036431,-2.960699524823618,-4.914829845673285,-6.944929140759005,-8.551751937281526,-20.654729297311903,-16.146188615468137,-27.572407604467173,-11.570930989650641,-22.300624291563665,-18.66298131558605,-31.545767702558102
702,9595,9803187,343.9389954,Indonesia,ID,IDN,360,360,-8.4458303,114.8789978,-2.2931753523966703,4.346944129288732,-1.734529549646846,-2.647630275564139,0.0018080210036908184,-1.07721488903314,4.030610955226388,3.9853777149989167,1.933530352368873,-19.98769901885189,-32.341823563593564,-25.86834467766661,-12.769979365671603,-15.521441743550001,-13.897716486696643,-27.87927435919776
703,14080,9288885,13092.5,Indonesia,ID,IDN,360,360,-6.09583,106.9290009,3.9454240865301804,10.739418981792026,-35.17824693293249,-3.862003848316642,7.790707811237385,-20.929065521012337,9.492686786786187,15.14272260493077,10.832797003536454,-9.95287177168902,-44.97641585822312,-10.494360556262528,-22.10129812942444,-3.7061500723936214,-5.866976582700034,-17.623128782572795
704,63086,4147458,422.3580017,Philippines,PH,PHL,608,608,12.4958,122.0039978,-1.0498601493550086,-1.1755417890930153,-10.586652054531598,-4.404167565608585,-16.689580885145627,-4.631565776607005,-3.1879034643957804,-2.332701285112382,-2.151497154900306,-20.158875752717297,-10.898145339797061,-22.2442966750519,-11.236973686388495,-18.05262121627813,-15.30133977149809,-19.610183105625577
705,17818,8678029,41.348701500000004,Indonesia,ID,IDN,360,360,-3.4875,116.41200259999998,-4.593315540234865,-8.977538406504948,-52.62602936324363,-7.25512333349192,-13.358037362908481,-33.34461834889889,-11.862642542121582,-13.463494467901583,-9.893735042278962,-23.494255675007924,-35.79171437893655,-23.74460053481583,-28.507817445825157,-23.70309108543821,-20.762932315499526,-19.89945050335059
706,2778,10856525,2760.75,Madagascar,MG,MDG,450,450,-15.729200400000002,46.3457985,11.027708886610776,8.991602915555807,6.725517777621759,-4.265742648715043,11.509334014117734,-4.161505791002751,4.651851083292069,10.17914708662946,0.3493199668966662,-13.18611338172544,-6.306726766080539,-14.335837261406514,-9.993347198520052,-11.718034843474879,-8.500638359583967,-15.083555783783298
707,67143,2257622,102.25599670000001,Philippines,PH,PHL,608,608,17.1208,122.4540024,2.0723972695615434,5.432691475080054,5.122409701952946,-4.398175018980089,-1.817491966342788,-2.550357128893732,-0.9799701942753813,3.33829887214252,-1.8823156182290357,-23.99561694159632,-14.55821919223772,-33.959157077255476,-6.296918502372318,-25.98364412619848,-21.3472256215551,-19.17361049576658
708,67792,12019,48.0456009,Philippines,PH,PHL,608,608,20.829200699999998,121.8460007,-1.6581727516730926,-6.841603345882408,-8.418859993910699,-5.120184176672938,-6.341366955849603,-6.218648705993313,-3.762269973290844,-5.504998560399255,-8.252265628741151,-23.809290633304837,-12.469462173049417,-36.3030157352923,-8.637483772888599,-25.147468738495537,-23.905422206312434,-24.46297820770794
709,51866,7003982,60.8675995,Indonesia,ID,IDN,360,360,1.8791699,101.3379974,-1.8560895326433013,-6.770636338127045,-43.14569442689227,-1.340280364958879,6.396191583708188,-11.118096945706824,-1.1145896984292247,-1.5178338949513148,-0.5485335358490273,-12.261967693697883,-12.801822613017489,-6.375658637194126,-10.092407019886718,-4.540574548309218,-5.968811018012731,-10.839952624742411
710,8396,9857630,8761.25,Indonesia,ID,IDN,360,360,-8.72083,115.2460022,-1.7331731312723808,4.653119148647011,-0.5785667018592622,-2.481356119153144,1.1149605710316646,1.0335169477180717,4.210273744806492,4.691596993167879,2.493859853001368,-19.858542366118115,-29.291682510534322,-26.008523477635038,-11.654175861067795,-16.175524383567375,-14.654034729814025,-29.196299359801237
