country,communityID,CoMgmtSite,dataProvider,lonDD,latDD,APECOSM_ipsl-cm6a-lr,BOATS_ipsl-cm6a-lr,DBEM_ipsl-cm6a-lr,DBPM_ipsl-cm6a-lr,FEISTY_ipsl-cm6a-lr,EcoOcean_ipsl-cm6a-lr,EcoTroph_ipsl-cm6a-lr,MACROECOLOGICAL_ipsl-cm6a-lr,ZooMSS_ipsl-cm6a-lr,BOATS_gfdl-esm4,DBEM_gfdl-esm4,FEISTY_gfdl-esm4,EcoOcean_gfdl-esm4,EcoTroph_gfdl-esm4,MACROECOLOGICAL_gfdl-esm4,ZooMSS_gfdl-esm4
Indonesia,BateeShok,Pria Laot,Josh,95.31266667,5.66925,0.8669158417490719,-1.4543099610725752,-60.224246992185115,-8.475765673857483,0.2691125404802541,-22.42887741852364,1.2839053452638582,2.981439469701397,3.9368055018068615,-22.66884110848375,-55.968731582101185,-34.102454209741296,-17.898185243390728,-17.45473710098917,-21.52966487047673,-27.584542514889378
Indonesia,KeuneukaiVillage,KeuneukaiVillage,Josh,95.31372222,5.77725,1.5852793433024592,-0.8784606090726621,-61.519984711951814,-8.169408818084346,0.6975198779591407,-23.077096785535424,1.6894729105989326,3.344035654338584,3.7444537726906146,-22.422008328219057,-55.76129670748801,-34.102454209741296,-18.28099141458854,-17.45473710098917,-21.52966487047673,-27.584542514889378
Indonesia,KotaBawahBarat,Pasiran,Josh,95.31807778,5.89025,1.7708366271030451,-0.7728809204989084,-61.519984711951814,-7.698416742976155,0.6598877950027449,-23.077096785535424,1.9267473769138732,3.356204975250421,4.053260735885433,-22.236890042552705,-55.76129670748801,-33.80568948060082,-18.28099141458854,-17.44094444324319,-21.355179197923235,-28.038884781927965
Indonesia,IeMeuleeVillage,Ieu_Meulee,Josh,95.33493056,5.8963194439999995,1.7708366271030451,-0.7728809204989084,-61.519984711951814,-7.698416742976155,0.6598877950027449,-23.077096785535424,1.9267473769138732,3.356204975250421,4.053260735885433,-22.236890042552705,-55.76129670748801,-33.80568948060082,-18.28099141458854,-17.44094444324319,-21.355179197923235,-28.038884781927965
Indonesia,BuerawangVillage,BuerawangVillage,Josh,95.34041667,5.786138889,1.7708366271030451,-0.8784606090726621,-61.519984711951814,-7.698416742976155,0.6598877950027449,-23.077096785535424,1.9267473769138732,3.356204975250421,4.053260735885433,-22.422008328219057,-55.76129670748801,-34.102454209741296,-18.28099141458854,-17.45473710098917,-21.52966487047673,-27.584542514889378
Indonesia,JaboiVillage,JaboiVillage,Josh,95.34391667,5.79525,1.7708366271030451,-0.8784606090726621,-61.519984711951814,-7.698416742976155,0.6598877950027449,-23.077096785535424,1.9267473769138732,3.356204975250421,4.053260735885433,-22.422008328219057,-55.76129670748801,-34.102454209741296,-18.28099141458854,-17.45473710098917,-21.52966487047673,-27.584542514889378
Indonesia,BalohanVillage,BalohanVillage,Josh,95.34780556,5.827722222,1.7708366271030451,-0.7728809204989084,-61.519984711951814,-7.698416742976155,0.6598877950027449,-23.077096785535424,1.9267473769138732,3.356204975250421,4.053260735885433,-22.236890042552705,-55.76129670748801,-34.102454209741296,-18.28099141458854,-17.45473710098917,-21.52966487047673,-27.584542514889378
Indonesia,AnoiItam,Anoi_Itam,Josh,95.37405556,5.836305556,1.7708366271030451,-0.7728809204989084,-61.519984711951814,-7.698416742976155,0.6598877950027449,-23.077096785535424,1.9267473769138732,3.356204975250421,4.053260735885433,-22.236890042552705,-55.76129670748801,-34.102454209741296,-18.28099141458854,-17.45473710098917,-21.52966487047673,-27.584542514889378
Indonesia,Pemuteran,Pemuteran,Georgie,114.65554499999999,-8.142972,-1.469499411448616,0.6391259734037424,-36.38990094165351,-6.954514679477175,9.58501804251748,0.14510264328211342,7.5422625362712825,3.5584409671040707,-7.03694653610717,-32.620907110290766,-72.47204192831973,-38.26787497190447,-25.407033312329432,-24.67328294606682,-28.225136227683777,-39.06890684562826
Indonesia,Bondalem,Bondalem,Georgie,115.317217,-8.10926,-1.47585362910303,-0.19436265825366617,-34.96709306804636,-7.44733506727675,7.674030082841088,1.2172639771085514,6.346124086975702,1.4924938057803594,-7.9717038569322884,-32.345878334258785,-72.97705809124324,-38.66454032332187,-26.124559664238323,-25.875259677470698,-27.957771045631898,-37.20707917200783
