SiteNum,CoMgmtSite,Country,S_agr,S_fsh,S_agrfsh,MSL1,MSL2,lonDD,latDD,E_maize_Ssp126,E_rice_Ssp126,E_cassava_Ssp126,E_agr_Ssp126_Weighted,E_agr_Ssp126_Weighted25perc,E_agr_Ssp126_Weighted75perc,E_agr_Ssp126_PercModelAgree,E_agr_Ssp126_Unweighted,E_agr_Ssp126_Unweighted25perc,E_agr_Ssp126_Unweighted75perc,E_maize_Ssp585,E_rice_Ssp585,E_cassava_Ssp585,E_agr_Ssp585_Weighted,E_agr_Ssp585_Weighted25perc,E_agr_Ssp585_Weighted75perc,E_agr_Ssp585_PercModelAgree,E_agr_Ssp585_Unweighted,E_agr_Ssp585_Unweighted25perc,E_agr_Ssp585_Unweighted75perc,E_fish_Ssp126,E_fish_Ssp126_25perc,E_fish_Ssp126_75perc,E_fish_Ssp126_PercModelAgree,E_fish_Ssp585,E_fish_Ssp585_25perc,E_fish_Ssp585_75perc,E_fish_Ssp585_PercModelAgree
12,25,philippines,0.006183131093420486,0.07258897793677119,0.0942439024390244,0.3055994730103711,0.07247015288449574,121.0580306,13.75710556,-4.62607602282273,4.20911696617354,-0.899055328516171,1.37317859065641,-1.07194865908396,4.05049148882223,65,-0.4386714617217869,-2.903752303141059,0.6750304042855068,-8.53533403652798,7.35493070637669,-4.05308237930099,2.17937954286193,-2.36553396656961,6.42163394809776,65,-1.744495236484093,-4.9732596260276,0.5596205199104936,-7.066194915,-11.24249313,-3.37746313,100,-11.03114324,-20.04129058,-1.167799642,81.25
13,28,philippines,0.002374388265245551,0.08671442243554423,0.1006248740173352,0.7006187601859475,0.14160960763579514,120.6157111,14.17789444,-4.24988420612767,4.15169649848573,0.0130464915955387,1.30864337736892,-1.42871877635205,3.58961603339425,65,-0.02838040534880042,-2.1367744405585833,1.2305244426411368,-7.58031472663102,7.49551336637681,-3.50247119012027,1.36430386121723,-1.87450074825854,5.65812096449505,50,-1.1957575167914933,-4.45087763426426,1.0592749874678937,-7.50703129,-10.06494163,-3.317407716,100,-12.00264725,-20.91302667,-2.090871209,87.5
14,29,philippines,0.002321498527299372,5.80374631824843e-4,0.0033184005309440847,0.7989559816021956,0.29029460482385716,120.6341,14.08288889,-4.24988420612767,4.15169649848573,0.0130464915955387,1.30864337736892,-1.42871877635205,3.58961603339425,65,-0.02838040534880042,-2.1367744405585833,1.2305244426411368,-7.58031472663102,7.49551336637681,-3.50247119012027,1.36430386121723,-1.87450074825854,5.65812096449505,50,-1.1957575167914933,-4.45087763426426,1.0592749874678937,-7.495869984,-10.11155866,-3.292416841,100,-11.80051863,-20.68204069,-2.090871209,87.5
15,30,philippines,0,0.1493280238924838,0.1493280238924838,-0.10543316730354726,-0.007656521524556049,120.6214389,14.08906944,-4.24988420612767,4.15169649848573,0.0130464915955387,1.30864337736892,-1.42871877635205,3.58961603339425,65,-0.02838040534880042,-2.1367744405585833,1.2305244426411368,-7.58031472663102,7.49551336637681,-3.50247119012027,1.36430386121723,-1.87450074825854,5.65812096449505,50,-1.1957575167914933,-4.45087763426426,1.0592749874678937,-7.495869984,-10.11155866,-3.292416841,100,-11.80051863,-20.68204069,-2.090871209,87.5
16,31,philippines,0.04688761732757947,0.016884538775079477,0.09092221099725792,0.6394588314952057,0.3323483758172647,120.6323472,13.83263056,-5.25615472522529,4.19580866976738,-0.212985856965717,1.63646692543106,-1.05071221386063,4.44884114683464,65,-0.42444397080787577,-3.341661297730997,0.6281095428586767,-9.39064855154792,7.48268963777651,-3.64422935333195,2.38520376553613,-2.52722854921246,7.1477395821097804,65,-1.8507294223677868,-4.964804210843097,0.5460426463115101,-7.583087424,-11.1137704,-3.296161434,100,-11.87082105,-20.15101883,-2.090871209,87.5
17,32,philippines,0.05067750677506774,0.02141255980461039,0.09045562103027642,0.8003374291637411,0.3495770097523913,120.63942780000001,13.83011667,-5.25615472522529,4.19580866976738,-0.212985856965717,1.63646692543106,-1.05071221386063,4.44884114683464,65,-0.42444397080787577,-3.341661297730997,0.6281095428586767,-9.39064855154792,7.48268963777651,-3.64422935333195,2.38520376553613,-2.52722854921246,7.1477395821097804,65,-1.8507294223677868,-4.964804210843097,0.5460426463115101,-7.561261446,-11.02646649,-3.296161434,100,-11.82130184,-19.95294198,-2.090871209,87.5
18,33,philippines,0.028131769206965425,0.07540770673978929,0.15804878048780488,0.7000163403669214,0.2657378266629655,120.6208,13.92961111,-5.25615472522529,4.19580866976738,-0.212985856965717,1.63646692543106,-1.05071221386063,4.44884114683464,65,-0.42444397080787577,-3.341661297730997,0.6281095428586767,-9.39064855154792,7.48268963777651,-3.64422935333195,2.38520376553613,-2.52722854921246,7.1477395821097804,65,-1.8507294223677868,-4.964804210843097,0.5460426463115101,-7.639591332,-11.31023356,-3.296161434,100,-11.96419935,-20.56489199,-2.090871209,87.5
19,34,philippines,0.03901200369344413,0.004218496484586263,0.04831585751220914,0.7704329598065867,0.371878244358022,120.1302,13.84810556,-5.31488737942534,4.27890763186766,-0.079239769627921,1.82765409292225,-0.946954038694176,4.6901661899281,65,-0.371739839061867,-2.747079316241543,1.0633095909740462,-10.4669866723307,7.56587250939156,-2.14396559045392,2.66628634329376,-2.84640318971761,7.79759111859873,65,-1.68169325113102,-5.47486461853041,0.719925342033773,-8.02852164,-10.88494936,-3.467667489,100,-12.57365271,-20.09823101,-3.173119696,87.5
20,35,philippines,0.033598805375808866,0.03211883970691558,0.07570869359487245,0.6167624883894234,0.4171531788456176,120.14255,13.84309167,-5.31488737942534,4.27890763186766,-0.079239769627921,1.82765409292225,-0.946954038694176,4.6901661899281,65,-0.371739839061867,-2.747079316241543,1.0633095909740462,-10.4669866723307,7.56587250939156,-2.14396559045392,2.66628634329376,-2.84640318971761,7.79759111859873,65,-1.68169325113102,-5.47486461853041,0.719925342033773,-8.02852164,-10.88494936,-3.467667489,100,-12.57365271,-20.09823101,-3.173119696,87.5
21,36,philippines,0.037084581372129506,0.023289295392953928,0.0788235029164696,0.3515745901505575,0.3256646603465087,120.2506,13.71998611,-5.31488737942534,4.27890763186766,-0.079239769627921,1.82765409292225,-0.946954038694176,4.6901661899281,65,-0.371739839061867,-2.747079316241543,1.0633095909740462,-10.4669866723307,7.56587250939156,-2.14396559045392,2.66628634329376,-2.84640318971761,7.79759111859873,65,-1.68169325113102,-5.47486461853041,0.719925342033773,-7.940085664,-10.68730873,-3.482054336,100,-12.41376721,-19.62954496,-3.173119696,87.5
